false,1212,PFeaCY,6,1999-11-03
false,905,RsKeOJ,14,1998-03-15
false,1669,VokqcP,18,1994-07-09
true,1632,nxeEhs,7,1999-01-28
false,388,mgalcH,18,1992-05-06
false,1774,UclMxl,17,1995-09-04
false,1389,DnUMkO,9,1998-07-31
true,1022,CfbgZr,16,1992-12-17
false,1767,zGYCtl,10,2000-06-28
false,507,gFAFwa,19,1993-02-01
true,858,PUzyDh,12,1994-11-29
false,232,qVQzgb,5,1991-06-16
false,1750,yuwZDF,13,1993-03-03
false,1043,PsemYH,22,1993-02-14
false,217,wWXlpN,4,2000-12-11
false,117,HfaXbX,20,2000-06-15
true,375,mpxciL,13,1998-01-27
false,1991,fkHdOd,3,1997-10-24
true,1786,zwDmMA,12,1990-09-15
true,440,pkbutt,7,1999-03-31
true,336,bWVFOn,3,1998-06-06
true,1242,oDVjkF,6,1999-05-10
true,1096,zgJPfU,14,1999-02-07
false,127,JEgBGy,22,1991-01-07
false,1712,aROfxw,14,1998-08-15
false,639,WncrOi,10,1992-07-29
false,127,hKMeHU,21,1999-04-10
false,1573,pJGWcz,10,1999-05-27
true,1812,mZCKYx,12,1994-07-30
false,1203,ASchdO,24,1996-01-17
true,401,wGTYRQ,1,1995-03-20
false,596,BZOlxQ,20,2000-11-25
true,1651,pPjQis,4,1996-10-17
false,684,xBjYsO,6,1996-05-08
false,1282,nOpzup,6,1996-12-21
true,1882,ufgWyZ,1,1993-01-21
true,1338,XEYqYk,13,1996-04-01
true,319,nmTDlt,24,1995-08-08
false,872,meEUHU,24,1996-10-28
true,1462,XPbfCo,18,1994-07-10
false,1328,EGUIaO,18,1998-02-22
true,1290,fexiYN,21,1991-10-31
false,1643,rrXrMU,11,1997-07-16
true,1693,QYIGVc,23,2000-11-15
true,1546,kNpcNv,17,1999-06-13
true,781,ZYOxPs,18,1993-06-18
true,140,wslegI,3,1994-05-28
false,608,NMvSnU,4,1994-07-25
true,1207,XsTJUA,13,1999-06-24
false,1248,gaBJTZ,11,1999-03-19
true,1871,KFHTGs,17,1998-02-13
false,1318,LWhkfy,9,2000-05-22
true,1269,ItYNOD,11,1998-08-11
false,559,CJdpVY,17,1995-10-15
false,210,rUUecS,6,1992-03-22
true,1256,udvWSS,7,1998-08-23
false,1693,dWyyuG,6,1999-02-08
true,1933,aJbpef,3,1992-04-12
false,244,NRQdQK,9,2000-09-13
true,1709,KsuZFu,11,1994-07-18
true,1406,AcrDqr,19,1996-12-25
false,1535,LYabLb,10,1990-08-27
false,1671,ENUhPl,8,2000-03-26
false,1897,hxmzPT,4,1998-01-23
false,1913,CTjnal,2,1995-02-12
true,1117,HFvpZs,18,1991-06-30
true,542,PQzJaR,18,1992-01-12
false,931,eGYxMM,16,1996-04-23
true,1440,rFRBkJ,4,1996-11-03
false,741,PIvXHs,7,1994-06-16
true,1374,bOCZaL,10,1995-12-16
false,277,XWIVby,4,1998-03-14
true,306,fFVVUx,22,1993-03-17
false,370,FYkOVJ,21,1996-12-12
false,859,IoNEGE,2,1994-03-24
true,438,ImMbAi,24,1998-06-21
false,1709,exgJYG,5,1991-03-08
false,1697,hyWOyb,1,1996-07-22
false,983,XuMMOt,21,1999-12-22
false,957,mBpRyY,21,2000-12-13
false,1919,OLyIlx,1,1999-02-11
false,638,FnstdD,19,1997-04-11
true,1808,pWQVWs,23,1999-06-02
false,352,gfZDOb,24,1999-01-15
true,1458,nsXhkA,12,1992-05-08
true,1094,vCethm,15,1992-04-14
true,1103,PFOmSU,14,1995-03-14
false,329,WCPEGE,2,1998-03-02
true,910,uoRyGF,21,1995-11-07
false,327,QUZwlw,3,1998-09-21
false,1853,SUaSfH,8,1997-05-22
false,265,WiYcpK,12,1998-04-24
false,557,fGefnR,24,1993-06-24
true,131,baxXVn,17,1991-03-09
false,802,koagzx,1,1995-10-21
true,605,yOqGtv,20,2000-05-14
false,1936,YIXPRQ,16,1999-11-14
false,534,grBktI,8,1996-08-16
true,1297,odpCAT,7,1990-04-04
false,1150,EpZcvV,9,1996-04-03
false,426,XYctOj,11,1995-07-23
false,1625,NKJAHv,4,1995-01-13
true,1999,GtjtGZ,1,1997-10-16
true,487,gcUdYu,11,1990-08-02
true,1591,QDWybW,4,1990-07-04
false,1041,AhVNbu,17,2000-02-20
false,1166,qVJZDZ,8,2000-04-22
false,1715,ylzRnf,19,2000-07-31
